                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5587,                 2.9675,                 1.6373,                 0.8722,                0.28634,                0.39283,                0.16714,                 1.6504,                 2.6822,                 1.4629,               0.070286,              0.0033016,              0.0033016
                      1,                 1.4535,                 2.1403,                 1.5226,                0.64508,                0.59135,                0.62254,                0.29841,                 1.6756,                 1.8531,                 1.4951,                0.04022,              0.0065692,              0.0065692
                      2,                 1.4906,                 1.9048,                 1.5667,                0.65133,                0.55081,                0.62028,                0.32247,                 1.5854,                 1.8798,                 1.5422,               0.010088,              0.0097709,              0.0097709
                      3,                 1.5069,                 1.8709,                 1.5551,                0.67196,                0.56237,                0.62755,                0.27918,                 1.8844,                 2.0035,                 1.6874,               0.009703,               0.009703,               0.009703
                      4,                 1.4819,                  1.809,                 1.5755,                0.62369,                0.60816,                0.63396,                0.29163,                 1.6702,                 1.8861,                 1.6757,               0.009703,               0.009703,               0.009703
                      5,                 1.4849,                 1.8154,                 1.5843,                 0.6076,                0.53348,                0.57182,                0.25148,                 1.9333,                 1.9903,                 1.8134,               0.009604,               0.009604,               0.009604
                      6,                 1.4423,                 1.7093,                 1.5634,                0.70836,                0.54495,                0.60979,                0.29036,                 1.8377,                 1.8873,                 1.7721,               0.009505,               0.009505,               0.009505
                      7,                 1.4803,                 1.6965,                 1.5748,                0.46198,                0.61149,                 0.5947,                0.28467,                 1.8621,                 1.9438,                 1.7845,               0.009406,               0.009406,               0.009406
                      8,                 1.4554,                 1.6685,                 1.5589,                0.63332,                0.55601,                 0.6229,                0.24162,                 2.0307,                 1.8911,                 1.9586,               0.009307,               0.009307,               0.009307
                      9,                 1.4812,                 1.6291,                 1.5742,                0.64763,                 0.6501,                0.67587,                0.32708,                 1.7942,                 1.8181,                 1.7048,               0.009208,               0.009208,               0.009208
                     10,                   1.47,                  1.594,                 1.5645,                0.66452,                 0.6046,                0.67629,                0.31593,                 1.8683,                 1.8531,                 1.7883,               0.009109,               0.009109,               0.009109
                     11,                 1.4223,                 1.6061,                 1.5647,                0.69823,                0.63707,                 0.6893,                0.34079,                 1.8283,                 1.5698,                 1.7452,                0.00901,                0.00901,                0.00901
                     12,                 1.4203,                 1.5401,                 1.5514,                0.77168,                0.67469,                0.70982,                0.30374,                 2.0133,                 1.6895,                 1.8877,               0.008911,               0.008911,               0.008911
                     13,                 1.4018,                 1.4804,                 1.5204,                0.77224,                0.56118,                0.70199,                 0.3061,                 1.9659,                  1.572,                 1.8886,               0.008812,               0.008812,               0.008812
                     14,                 1.3737,                 1.3804,                 1.4935,                0.69435,                0.72038,                0.68802,                0.33088,                   1.82,                 1.4253,                 1.7426,               0.008713,               0.008713,               0.008713
                     15,                 1.3613,                 1.3871,                 1.4914,                0.82354,                0.65201,                0.75275,                0.35758,                 1.8579,                 1.3818,                 1.7392,               0.008614,               0.008614,               0.008614
                     16,                 1.3441,                 1.3945,                 1.4929,                0.78949,                0.60631,                0.70365,                  0.306,                  1.875,                   1.49,                 1.8291,               0.008515,               0.008515,               0.008515
                     17,                 1.3614,                 1.3701,                 1.4982,                0.76105,                0.59835,                0.69997,                0.34515,                 1.7718,                 1.5175,                 1.7051,               0.008416,               0.008416,               0.008416
                     18,                 1.3703,                 1.3887,                 1.5124,                0.72445,                0.64921,                0.71748,                0.32266,                 1.9255,                 1.4724,                 1.8514,               0.008317,               0.008317,               0.008317
                     19,                 1.3369,                   1.32,                 1.4832,                0.67177,                0.60158,                0.67736,                0.32275,                  1.964,                 1.4807,                 1.8935,               0.008218,               0.008218,               0.008218
                     20,                 1.3199,                 1.2944,                  1.459,                0.76799,                0.71474,                0.76635,                0.36139,                 1.7577,                 1.2724,                 1.7212,               0.008119,               0.008119,               0.008119
                     21,                 1.3143,                 1.2886,                 1.4613,                0.66835,                0.64393,                0.66302,                0.28893,                 2.0016,                 1.3983,                 1.8832,                0.00802,                0.00802,                0.00802
                     22,                 1.3143,                 1.2686,                 1.4562,                0.78256,                0.58914,                0.66084,                0.32709,                 1.8515,                   1.41,                 1.8038,               0.007921,               0.007921,               0.007921
                     23,                 1.2931,                 1.2455,                 1.4578,                0.74906,                0.62342,                0.67713,                0.31824,                 1.9222,                 1.3981,                 1.8347,               0.007822,               0.007822,               0.007822
                     24,                 1.2955,                 1.2197,                 1.4346,                0.76785,                0.59616,                0.70366,                0.31086,                 1.9716,                 1.4149,                 1.8506,               0.007723,               0.007723,               0.007723
                     25,                 1.2739,                 1.1903,                 1.4229,                0.71821,                0.61291,                0.66762,                0.33128,                 1.7527,                 1.2726,                 1.6626,               0.007624,               0.007624,               0.007624
                     26,                  1.252,                 1.1524,                 1.4112,                0.74307,                0.65061,                0.70541,                0.33097,                 1.8568,                 1.3177,                 1.7608,               0.007525,               0.007525,               0.007525
                     27,                 1.2621,                 1.1606,                 1.4252,                0.61671,                0.71005,                0.69051,                0.32486,                 1.9434,                 1.3616,                 1.8509,               0.007426,               0.007426,               0.007426
                     28,                 1.2806,                 1.1804,                 1.4261,                0.73141,                0.75462,                0.76513,                 0.3838,                 1.8133,                 1.2814,                 1.7192,               0.007327,               0.007327,               0.007327
