                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8686,                 2.1563,                 1.6147,                 0.9173,                0.83841,                0.93676,                0.50367,                 1.4277,                 1.3654,                  1.412,               0.070107,              0.0033215,              0.0033215
                      1,                 1.5704,                 1.4342,                 1.4542,                0.91054,                0.89939,                0.95202,                0.56033,                 1.3538,                 1.1525,                 1.3933,               0.040041,              0.0065889,              0.0065889
                      2,                 1.5578,                 1.3521,                 1.4806,                0.85656,                0.85976,                0.91704,                0.46874,                 1.3902,                 1.2693,                 1.3726,               0.009909,              0.0097904,              0.0097904
                      3,                 1.4931,                 1.2121,                 1.4325,                0.95044,                0.93559,                0.97695,                0.58426,                 1.3578,                0.97709,                 1.4211,               0.009703,               0.009703,               0.009703
                      4,                 1.4956,                 1.1666,                 1.4503,                0.95724,                0.92073,                0.97143,                0.60424,                 1.2689,                0.89963,                 1.3542,               0.009703,               0.009703,               0.009703
                      5,                 1.4469,                 1.0749,                 1.4335,                0.95169,                0.96095,                0.98535,                0.63644,                 1.2465,                0.81864,                 1.3272,               0.009604,               0.009604,               0.009604
                      6,                  1.421,                 1.0171,                 1.4099,                0.98091,                0.93994,                0.98898,                0.65488,                 1.1968,                0.74632,                 1.3025,               0.009505,               0.009505,               0.009505
                      7,                 1.4022,                 0.9815,                 1.4001,                0.98465,                 0.9777,                0.99378,                0.69143,                 1.1052,                0.68233,                 1.2579,               0.009406,               0.009406,               0.009406
                      8,                 1.3804,                0.95716,                 1.3936,                0.96149,                0.91349,                 0.9795,                 0.6375,                 1.1508,                0.72416,                 1.2843,               0.009307,               0.009307,               0.009307
                      9,                 1.3262,                0.90431,                 1.3594,                0.97278,                0.98043,                0.99315,                0.64866,                 1.2136,                0.63657,                 1.3294,               0.009208,               0.009208,               0.009208
                     10,                 1.3266,                0.86743,                 1.3556,                0.94929,                0.97028,                0.98727,                 0.6954,                 1.1034,                0.64797,                 1.2635,               0.009109,               0.009109,               0.009109
                     11,                 1.2934,                0.85405,                 1.3502,                0.95512,                0.97323,                0.98908,                0.70046,                   1.07,                0.59679,                 1.2564,                0.00901,                0.00901,                0.00901
                     12,                 1.2642,                0.81741,                 1.3267,                0.98635,                0.98476,                0.99479,                0.67174,                 1.1161,                0.59252,                 1.2769,               0.008911,               0.008911,               0.008911
                     13,                  1.242,                0.79621,                 1.3182,                0.98468,                 0.9797,                0.99149,                0.72813,                0.95714,                0.54537,                 1.1617,               0.008812,               0.008812,               0.008812
                     14,                 1.2157,                0.76655,                 1.2958,                0.99411,                 0.9878,                0.99488,                0.74868,                0.92845,                0.49353,                 1.1529,               0.008713,               0.008713,               0.008713
                     15,                 1.2091,                0.75988,                 1.2962,                0.98031,                0.99085,                0.99463,                0.71865,                0.98635,                0.54012,                 1.1979,               0.008614,               0.008614,               0.008614
